as_of,assumed_opponents,assumed_crowd_concentration,contest_share_given_actual_results,baseline_share_given_actual_results
2019-04-23,1000,2.5,0.0,0.0
2019-04-23,10000,2.5,0.0,0.0
2019-04-23,100,5.0,0.0,2.098808682651626e-43
2019-04-23,1000,5.0,0.0,0.0
2019-04-23,10000,5.0,0.0,0.0
2019-04-30,100,1.0,0.0012264420597440046,4.345916824466437e-40
2019-04-30,1000,1.0,6.032301504947792e-26,0.0
2019-04-30,10000,1.0,3.286489667688981e-240,0.0
2019-04-30,100,2.5,0.0029491275398033697,2.807507336008134e-45
2019-04-30,1000,2.5,2.7243820855964343e-22,0.0
2019-04-30,10000,2.5,7.655406923466493e-204,0.0
2019-04-30,100,5.0,0.053239036272854895,8.926140437276738e-43
2019-04-30,1000,5.0,3.386404379023583e-11,0.0
2019-04-30,10000,5.0,7.474593678194814e-95,0.0
2019-05-07,100,1.0,2.8028569283618927e-18,1.039231439318501e-65
2019-05-07,1000,1.0,4.0631698735169527e-166,0.0
2019-05-07,10000,1.0,0.0,0.0
2019-05-07,100,2.5,2.214300090144354e-12,2.2909304247125503e-61
2019-05-07,1000,2.5,1.5742915369383945e-107,0.0
2019-05-07,10000,2.5,0.0,0.0
2019-05-07,100,5.0,4.500657071943746e-08,1.6096217903448092e-56
2019-05-07,1000,5.0,2.4570266709324187e-65,0.0
2019-05-07,10000,5.0,0.0,0.0
2019-05-14,100,1.0,2.6365096919713557e-62,0.052776916912768305
2019-05-14,1000,1.0,0.0,3.196843030391715e-11
2019-05-14,10000,1.0,0.0,4.3994017423440465e-95
2019-05-14,100,2.5,5.888783811294808e-119,0.02627573399710209
2019-05-14,1000,2.5,0.0,3.9789764192926733e-13
2019-05-14,10000,2.5,0.0,1.345691238592524e-112
2019-05-14,100,5.0,3.4116263365274844e-221,0.028352467318066656
2019-05-14,1000,5.0,0.0,8.43988775604609e-12
2019-05-14,10000,5.0,0.0,3.4888362136328846e-98
2019-08-13,100,1.0,7.972921786599243e-56,8.291290279305163e-05
2019-08-13,1000,1.0,0.0,3.4329082053870454e-36
2019-08-13,10000,1.0,0.0,0.0
2019-08-13,100,2.5,1.3801391407366947e-85,3.2074499513659017e-06
2019-08-13,1000,2.5,0.0,9.343468660309317e-49
2019-08-13,10000,2.5,0.0,0.0
2019-08-13,100,5.0,2.0544144299961818e-132,7.934621323049734e-08
2019-08-13,1000,5.0,0.0,3.9603830497218286e-63
2019-08-13,10000,5.0,0.0,0.0
2019-08-20,100,1.0,3.817272164212887e-105,1.7176295907369225e-10
2019-08-20,1000,1.0,0.0,1.2463637610662679e-90
2019-08-20,10000,1.0,0.0,0.0
2019-08-20,100,2.5,1.3691043241497952e-185,1.2687394040449806e-18
2019-08-20,1000,2.5,0.0,8.31203725134604e-170
2019-08-20,10000,2.5,0.0,0.0
2019-08-20,100,5.0,2.67e-322,2.871845651061652e-24
2019-08-20,1000,5.0,0.0,4.6275812271908974e-225
2019-08-20,10000,5.0,0.0,0.0
2019-08-27,100,1.0,4.420843258738855e-23,1.4884266765051428e-07
2019-08-27,1000,1.0,1.2278068653672191e-213,5.116469125106127e-62
2019-08-27,10000,1.0,0.0,0.0
2019-08-27,100,2.5,3.178191352121886e-32,5.514888984524036e-09
2019-08-27,1000,2.5,1.7944252950591737e-303,5.24696470424697e-75
2019-08-27,10000,2.5,0.0,0.0
2019-08-27,100,5.0,3.578093302950771e-52,2.5718366891182898e-12
2019-08-27,1000,5.0,0.0,1.1473939299455707e-106
2019-08-27,10000,5.0,0.0,0.0
2019-09-10,100,1.0,9.838632594141894e-07,9.838632594141894e-07
2019-09-10,1000,1.0,1.1156913094137595e-54,1.1156913094137595e-54
2019-09-10,10000,1.0,0.0,0.0
2019-09-10,100,2.5,2.539366067816805e-06,2.539366067816805e-06
2019-09-10,1000,2.5,1.4262043031746573e-50,1.4262043031746573e-50
