team,att,def
Palestine,0.39420254691620477,-0.5890123113225295
Panama,0.6936879118771606,-0.6491739723329029
Panjab,0.12074094073271041,0.41093275120818346
Papua New Guinea,-0.8951779780505,1.073043321672368
Paraguay,0.873797301643612,-1.4752149691463774
Parishes of Jersey,-0.06651691338003946,0.31887533535409407
Peru,0.4074115536262563,-1.1186594421059046
Philippines,-0.036172892451918626,0.19177121629750407
Poland,1.0391511829848277,-0.8210124397959966
Portugal,1.5563389842317639,-1.261603782714361
Puerto Rico,-0.15643945223113112,0.16418944746038522
Qatar,0.7037733911082573,-0.35800267280236586
Raetia,-1.0136516579147985,1.6263065098216922
Republic of Ireland,0.6995642957722232,-0.9663677220250206
Romani people,-0.06126442724604503,1.0627993589036904
Romania,0.8134547763486555,-0.8970076908692679
Russia,0.9796481697368498,-1.0900183278646378
Rwanda,-0.052054862820903214,-0.7558990213170815
Ryūkyū,-0.5378628514552773,2.100209559171748
Réunion,0.16198506708054589,-0.5971603205479922
Saare County,-0.5503230389832601,1.398192555914623
Saint Barthélemy,0.13050533720768548,0.8519534785769349
Saint Helena,-1.7359369574393597,2.0301460867398884
Saint Kitts and Nevis,-0.41695500561851034,0.8282104774445294
Saint Lucia,-0.4882065572788705,0.7219875721497777
Saint Martin,-0.1618136315918511,0.584533402485838
Saint Vincent and the Grenadines,-0.09179942647478342,0.6680415402571057
Samoa,-1.8633856562041462,1.649889846081745
San Marino,-0.759593579113781,0.5279353255201678
Saudi Arabia,0.5759605568502344,-0.9184569711455475
Scotland,1.0636113525569526,-1.0007062033624743
Senegal,1.1813306069706946,-0.9122577091198929
Serbia,0.9279039496480073,-0.9147070880475017
Seychelles,-1.2276184784901996,0.8732482617874024
Shetland,-0.21750286006421643,0.8135865648215475
Sierra Leone,0.3122098841528809,-0.33254699506293606
Singapore,-0.1555422646764994,0.40373825120099033
Sint Maarten,-0.3750283037816166,0.8973434146358865
Slovakia,0.7784621362722666,-0.7756781826471804
Slovenia,0.5608593835082409,-1.1437792760440344
Solomon Islands,-0.7739696788674004,1.1684418754430888
Somalia,-0.8793005740391964,-0.07802312034894321
Somaliland,-0.1717098404516755,1.2478883548962458
South Africa,0.5510573470409457,-0.8411387710629559
South Korea,1.0498465059151545,-0.9164941851189214
South Ossetia,-0.2267706366836557,0.43955320773366935
South Sudan,-0.3877296899100622,-0.03448197571258804
Spain,1.7271802764149926,-1.6562455225692798
Sri Lanka,-0.9726873617322207,0.4223302016383787
Sudan,0.002425755780769978,-0.6016592311435857
Suriname,0.2838694005113455,-0.45218104767218603
Surrey,-0.3427463443301866,0.4310764460150269
Sweden,1.0753199368627568,-0.7657006356732432
Switzerland,1.361195356066832,-1.232260659593446
Syria,0.4260133440339167,-0.5792471944929618
