match_id,bookmaker,latest
ee4d3192a3a6c14e4435,1xBet,2026-09-09T05:15:27+00:00
ee4d3192a3a6c14e4435,888sport,2026-09-09T05:15:50+00:00
ee4d3192a3a6c14e4435,BetOnline.ag,2026-09-09T05:16:12+00:00
ee4d3192a3a6c14e4435,Betclic (FR),2026-09-09T05:11:40+00:00
ee4d3192a3a6c14e4435,Betfair,2026-09-09T05:15:51+00:00
ee4d3192a3a6c14e4435,Betsson,2026-09-09T05:15:28+00:00
ee4d3192a3a6c14e4435,Codere (IT),2026-09-09T05:15:28+00:00
ee4d3192a3a6c14e4435,Coolbet,2026-09-09T05:16:15+00:00
ee4d3192a3a6c14e4435,Everygame,2026-09-09T05:14:04+00:00
ee4d3192a3a6c14e4435,GTbets,2026-09-09T05:15:51+00:00
ee4d3192a3a6c14e4435,LeoVegas (SE),2026-09-09T05:15:29+00:00
ee4d3192a3a6c14e4435,Marathon Bet,2026-09-09T05:15:28+00:00
ee4d3192a3a6c14e4435,Matchbook,2026-09-09T05:16:15+00:00
ee4d3192a3a6c14e4435,Nordic Bet,2026-09-09T05:16:15+00:00
ee4d3192a3a6c14e4435,PMU (FR),2026-09-09T05:15:28+00:00
ee4d3192a3a6c14e4435,Pinnacle,2026-09-09T05:16:12+00:00
ee4d3192a3a6c14e4435,Suprabets,2026-09-09T05:14:38+00:00
ee4d3192a3a6c14e4435,Tipico,2026-09-09T05:16:14+00:00
ee4d3192a3a6c14e4435,Unibet (FR),2026-09-09T05:15:51+00:00
ee4d3192a3a6c14e4435,Unibet (NL),2026-09-09T05:16:13+00:00
ee4d3192a3a6c14e4435,Unibet (SE),2026-09-09T05:15:34+00:00
ee4d3192a3a6c14e4435,William Hill,2026-09-09T05:15:50+00:00
ee4d3192a3a6c14e4435,Winamax (DE),2026-09-09T05:15:53+00:00
ee4d3192a3a6c14e4435,Winamax (FR),2026-09-09T05:15:31+00:00
