strategy,season,matchday,points,baseline_points,changes,expected_cost,added_draws,games,better,equal,worse
baseline,2019,20,13,13,0,0.0,0.0,9,False,True,False
baseline,2019,21,9,9,0,0.0,0.0,9,False,True,False
baseline,2019,22,15,15,0,0.0,0.0,9,False,True,False
baseline,2019,23,10,10,0,0.0,0.0,9,False,True,False
baseline,2019,24,16,16,0,0.0,0.0,9,False,True,False
baseline,2019,25,14,14,0,0.0,0.0,9,False,True,False
baseline,2019,26,14,14,0,0.0,0.0,9,False,True,False
baseline,2019,27,8,8,0,0.0,0.0,9,False,True,False
baseline,2019,28,5,5,0,0.0,0.0,9,False,True,False
baseline,2019,29,16,16,0,0.0,0.0,9,False,True,False
baseline,2019,30,7,7,0,0.0,0.0,9,False,True,False
baseline,2019,31,8,8,0,0.0,0.0,9,False,True,False
baseline,2019,32,15,15,0,0.0,0.0,9,False,True,False
baseline,2019,33,11,11,0,0.0,0.0,9,False,True,False
baseline,2019,34,20,20,0,0.0,0.0,9,False,True,False
baseline,2020,1,9,9,0,0.0,0.0,9,False,True,False
baseline,2020,2,0,0,0,0.0,0.0,9,False,True,False
baseline,2020,3,18,18,0,0.0,0.0,9,False,True,False
baseline,2020,4,14,14,0,0.0,0.0,9,False,True,False
baseline,2020,5,14,14,0,0.0,0.0,9,False,True,False
baseline,2020,6,8,8,0,0.0,0.0,9,False,True,False
baseline,2020,7,16,16,0,0.0,0.0,9,False,True,False
baseline,2020,8,6,6,0,0.0,0.0,9,False,True,False
baseline,2020,9,9,9,0,0.0,0.0,9,False,True,False
baseline,2020,10,10,10,0,0.0,0.0,9,False,True,False
baseline,2020,11,12,12,0,0.0,0.0,9,False,True,False
baseline,2020,12,13,13,0,0.0,0.0,9,False,True,False
baseline,2020,13,11,11,0,0.0,0.0,9,False,True,False
baseline,2020,14,16,16,0,0.0,0.0,9,False,True,False
baseline,2020,15,6,6,0,0.0,0.0,9,False,True,False
baseline,2020,16,6,6,0,0.0,0.0,9,False,True,False
baseline,2020,17,10,10,0,0.0,0.0,9,False,True,False
baseline,2020,18,6,6,0,0.0,0.0,9,False,True,False
baseline,2020,19,16,16,0,0.0,0.0,9,False,True,False
baseline,2020,20,12,12,0,0.0,0.0,9,False,True,False
baseline,2020,21,4,4,0,0.0,0.0,9,False,True,False
baseline,2020,22,11,11,0,0.0,0.0,9,False,True,False
baseline,2020,23,11,11,0,0.0,0.0,9,False,True,False
baseline,2020,24,12,12,0,0.0,0.0,9,False,True,False
baseline,2020,25,15,15,0,0.0,0.0,9,False,True,False
baseline,2020,26,16,16,0,0.0,0.0,9,False,True,False
baseline,2020,27,19,19,0,0.0,0.0,9,False,True,False
baseline,2020,28,11,11,0,0.0,0.0,9,False,True,False
baseline,2020,29,13,13,0,0.0,0.0,9,False,True,False
baseline,2020,30,17,17,0,0.0,0.0,9,False,True,False
baseline,2020,31,18,18,0,0.0,0.0,9,False,True,False
baseline,2020,32,14,14,0,0.0,0.0,9,False,True,False
baseline,2020,33,5,5,0,0.0,0.0,9,False,True,False
baseline,2020,34,18,18,0,0.0,0.0,9,False,True,False
baseline,2021,1,11,11,0,0.0,0.0,9,False,True,False
baseline,2021,2,12,12,0,0.0,0.0,9,False,True,False
baseline,2021,3,17,17,0,0.0,0.0,9,False,True,False
baseline,2021,4,13,13,0,0.0,0.0,9,False,True,False
baseline,2021,5,8,8,0,0.0,0.0,9,False,True,False
baseline,2021,6,13,13,0,0.0,0.0,9,False,True,False
baseline,2021,7,13,13,0,0.0,0.0,9,False,True,False
baseline,2021,8,7,7,0,0.0,0.0,9,False,True,False
baseline,2021,9,10,10,0,0.0,0.0,9,False,True,False
baseline,2021,10,15,15,0,0.0,0.0,9,False,True,False
baseline,2021,11,12,12,0,0.0,0.0,9,False,True,False
baseline,2021,12,10,10,0,0.0,0.0,9,False,True,False
baseline,2021,13,10,10,0,0.0,0.0,9,False,True,False
baseline,2021,14,10,10,0,0.0,0.0,9,False,True,False
