policy,form,book_weight,season,games,log_loss,outcome_log_loss,brier_score,points,rounds,mean,maximum,at_least_18,at_least_20,at_least_22,at_least_24
fixed_90,residual_020,0.5,2011,306,2.9861564707928427,0.9934355299690605,0.5928908350407568,408,34,12.0,20,3,1,0,0
fixed_90,residual_020,0.5,2012,306,3.0670940467816,0.9893703602182818,0.588681761210605,406,34,11.941176470588236,24,2,1,1,1
fixed_90,residual_020,0.5,2013,306,3.1099947411421804,0.9540709406373118,0.5638220268206917,412,34,12.117647058823529,23,5,2,1,0
fixed_90,residual_020,0.5,2014,306,3.032422632200798,1.0243127951848012,0.6109896145115085,407,34,11.970588235294118,20,4,1,0,0
fixed_90,residual_020,0.5,2015,306,3.0180671220117925,0.9999952248547498,0.5964943131263402,404,34,11.882352941176471,19,2,0,0,0
fixed_90,residual_020,0.5,2016,306,3.0250920715025686,0.9946320319316547,0.5957721971183396,428,34,12.588235294117647,22,4,2,1,0
fixed_90,residual_020,0.5,2017,306,2.9568230286784267,1.0126421025945382,0.6068248885692182,397,34,11.676470588235293,20,2,1,0,0
fixed_90,residual_020,0.5,2018,306,3.1717883164308036,0.9781054656393402,0.5818018256080192,407,34,11.970588235294118,28,1,1,1,1
fixed_90,residual_020,0.5,2019,306,3.173566052591965,0.9848078713893388,0.5876815723890811,388,34,11.411764705882353,18,2,0,0,0
fixed_90,residual_020,0.5,2020,306,3.0746913101650084,1.0075010802493916,0.6007602164634829,415,34,12.205882352941176,21,3,2,0,0
fixed_90,residual_020,0.5,2021,306,3.088774642021695,1.0016080237190708,0.594465731477611,399,34,11.735294117647058,20,1,1,0,0
fixed_90,residual_020,0.5,2022,306,3.188431130678857,1.0149500672089657,0.6067021749037818,390,34,11.470588235294118,20,5,2,0,0
fixed_90,residual_020,0.5,2023,306,3.0841324600076216,0.95055430398418,0.5653910918149457,423,34,12.441176470588236,21,4,2,0,0
fixed_90,residual_020,0.5,2024,306,3.144649441050424,1.0178224982273882,0.609034285740115,393,34,11.558823529411764,25,2,2,1,1
fixed_90,residual_020,0.5,2025,306,3.143493124891762,0.9695741024439919,0.572903739149821,440,34,12.941176470588236,21,7,5,0,0
fixed_90,residual_020,1.0,2011,306,2.9919748083151725,0.9992538674913903,0.5961380545284246,397,34,11.676470588235293,18,1,0,0,0
fixed_90,residual_020,1.0,2012,306,3.066998606953549,0.9892749203902308,0.5890123377315373,410,34,12.058823529411764,21,2,1,0,0
fixed_90,residual_020,1.0,2013,306,3.096857268564592,0.9409334680597234,0.5561458730032858,421,34,12.382352941176471,23,5,2,1,0
fixed_90,residual_020,1.0,2014,306,3.00997921592368,1.0018693789076831,0.59854510379583,413,34,12.147058823529411,19,3,0,0,0
fixed_90,residual_020,1.0,2015,306,2.994634218415573,0.9765623212585306,0.5807441494101531,408,34,12.0,18,1,0,0,0
fixed_90,residual_020,1.0,2016,306,3.026413063566858,0.9959530239959442,0.5975189531288768,421,34,12.382352941176471,22,3,1,1,0
fixed_90,residual_020,1.0,2017,306,2.940068012300518,0.995887086216629,0.5952808362730977,418,34,12.294117647058824,22,3,2,1,0
fixed_90,residual_020,1.0,2018,306,3.157429733535779,0.9637468827443155,0.5716778227340811,419,34,12.323529411764707,25,4,2,1,1
fixed_90,residual_020,1.0,2019,306,3.156930713430255,0.9681725322276288,0.5760416906756092,404,34,11.882352941176471,18,2,0,0,0
fixed_90,residual_020,1.0,2020,306,3.0549128969189563,0.9877226670033397,0.5872608240222961,397,34,11.676470588235293,20,2,1,0,0
fixed_90,residual_020,1.0,2021,306,3.0754856327462257,0.9883190144436017,0.587201020009305,372,34,10.941176470588236,16,0,0,0,0
fixed_90,residual_020,1.0,2022,306,3.169422940605056,0.9959418771351647,0.5944976890319831,409,34,12.029411764705882,22,5,5,1,0
fixed_90,residual_020,1.0,2023,306,3.0795119155890682,0.9459337595656265,0.5594981836550497,419,34,12.323529411764707,21,3,1,0,0
fixed_90,residual_020,1.0,2024,306,3.116855801401226,0.9900288585781899,0.5912994385243137,411,34,12.088235294117647,22,4,3,1,0
fixed_90,residual_020,1.0,2025,306,3.1258950093112783,0.9519759868635077,0.5621914610184051,438,34,12.882352941176471,21,7,4,0,0
season_180_630,legacy,0.0,2011,306,2.9823212050420778,1.0054109841464554,0.6001398196580814,393,34,11.558823529411764,19,2,0,0,0
season_180_630,legacy,0.0,2012,306,3.0146635067500496,0.988336187060651,0.5885156781892719,413,34,12.147058823529411,20,4,1,0,0
season_180_630,legacy,0.0,2013,306,3.076777021732698,0.9492967896223096,0.5605127225089425,412,34,12.117647058823529,23,4,2,1,0
season_180_630,legacy,0.0,2014,306,2.987058874683986,1.0298180718330094,0.6144885291502822,380,34,11.176470588235293,18,2,0,0,0
season_180_630,legacy,0.0,2015,306,2.980873378074855,0.9950909242059068,0.5934080632680278,389,34,11.441176470588236,18,2,0,0,0
season_180_630,legacy,0.0,2016,306,2.9764177525640436,1.0010772807595214,0.6009774964429648,402,34,11.823529411764707,24,2,1,1,1
season_180_630,legacy,0.0,2017,306,2.938543813205159,1.019350141740454,0.6095545838048958,377,34,11.088235294117647,18,1,0,0,0
season_180_630,legacy,0.0,2018,306,3.144538802700346,0.9861571079773032,0.5859544026368108,399,34,11.735294117647058,18,2,0,0,0
season_180_630,legacy,0.0,2019,306,3.147979429977925,0.9986908168445966,0.5954987826168429,399,34,11.735294117647058,22,5,2,1,0
season_180_630,legacy,0.0,2020,306,2.98342312281924,1.008868521817624,0.6019512860003059,372,34,10.941176470588236,18,1,0,0,0
season_180_630,legacy,0.0,2021,306,3.0538991215569173,1.0102715241707663,0.6011887589730252,387,34,11.382352941176471,18,1,0,0,0
season_180_630,legacy,0.0,2022,306,3.12814262943219,1.0048312945947613,0.6005380045803593,415,34,12.205882352941176,23,3,1,1,0
season_180_630,legacy,0.0,2023,306,3.068605737062101,0.9779578439299365,0.5840985289655516,392,34,11.529411764705882,23,3,2,1,0
season_180_630,legacy,0.0,2024,306,3.115058470560616,1.0245693323517722,0.6120036764947888,375,34,11.029411764705882,23,4,1,1,0
season_180_630,legacy,0.0,2025,306,3.10144002678567,0.9778346952219537,0.5773826684804418,423,34,12.441176470588236,25,3,2,1,1
season_180_630,legacy,0.5,2011,306,2.9764944749279336,0.9995842540323112,0.5963955400176324,398,34,11.705882352941176,21,3,1,0,0
season_180_630,legacy,0.5,2012,306,3.0089732358396635,0.9826459161502649,0.5841810261799898,446,34,13.117647058823529,21,6,2,0,0
season_180_630,legacy,0.5,2013,306,3.0696999286105897,0.942219696500201,0.556572631338872,413,34,12.147058823529411,23,4,2,1,0
season_180_630,legacy,0.5,2014,306,2.9688990863846714,1.0116582835336951,0.6043806742364036,411,34,12.088235294117647,20,3,1,0,0
season_180_630,legacy,0.5,2015,306,2.9667837792475997,0.9810013253786513,0.5841417110683155,388,34,11.411764705882353,18,3,0,0,0
season_180_630,legacy,0.5,2016,306,2.970793114904037,0.9954526430995143,0.5974176703709148,395,34,11.617647058823529,20,3,1,0,0
season_180_630,legacy,0.5,2017,306,2.9238976368269056,1.0047039653622005,0.6005537822377885,391,34,11.5,18,2,0,0,0
season_180_630,legacy,0.5,2018,306,3.1305979180021164,0.9722162232790735,0.577339844839743,410,34,12.058823529411764,18,2,0,0,0
season_180_630,legacy,0.5,2019,306,3.129688741609931,0.9804001284766027,0.5840600061271413,409,34,12.029411764705882,20,3,1,0,0
season_180_630,legacy,0.5,2020,306,2.9705166011908064,0.9959620001891907,0.5934168194358027,378,34,11.117647058823529,17,0,0,0,0
season_180_630,legacy,0.5,2021,306,3.0381729602386254,0.9945453628524743,0.5917683574093129,379,34,11.147058823529411,18,1,0,0,0
season_180_630,legacy,0.5,2022,306,3.12047989934116,0.9971685645037314,0.5955652554581674,406,34,11.941176470588236,23,3,1,1,0
season_180_630,legacy,0.5,2023,306,3.0483284621264275,0.9576805689942632,0.5690427428177848,410,34,12.058823529411764,21,3,2,0,0
season_180_630,legacy,0.5,2024,306,3.094373606576625,1.003884468367781,0.5995951324970904,399,34,11.735294117647058,23,5,2,1,0
season_180_630,legacy,0.5,2025,306,3.0845108126655068,0.9609054811017902,0.5679918316275198,432,34,12.705882352941176,25,4,2,1,1
