method,book_weight,season,games,log_loss,outcome_log_loss,brier_score,points,rounds,mean,maximum,at_least_18,at_least_20,at_least_22,at_least_24
select_half_life,1.0,2021,306,3.0255408540246163,0.9876357465557886,0.5866968500203953,381,34,11.205882352941176,17,0,0,0,0
select_half_life,1.0,2022,306,3.107662447914487,0.9959418771351647,0.5944976890319831,399,34,11.735294117647058,23,4,3,1,0
select_half_life,1.0,2023,306,3.0298039251764015,0.9467558710842418,0.5598153941385581,422,34,12.411764705882353,21,2,1,0,0
select_half_life,1.0,2024,306,3.071045503158836,0.9900288585781899,0.5912994385243137,416,34,12.235294117647058,23,5,2,1,0
select_half_life,1.0,2025,306,3.0634427870949343,0.9526953994370617,0.5626816168890167,436,34,12.823529411764707,21,4,2,0,0
select_half_life_and_form,0.0,2016,306,2.9744309419296915,1.0060011546475773,0.6041948556801301,397,34,11.676470588235293,20,3,2,0,0
select_half_life_and_form,0.0,2017,306,2.9340333493069712,1.0138014440006584,0.6053405632682182,379,34,11.147058823529411,18,1,0,0,0
select_half_life_and_form,0.0,2018,306,3.12594839691017,0.973808651942073,0.578568182828292,401,34,11.794117647058824,19,3,0,0,0
select_half_life_and_form,0.0,2019,306,3.1393716209055027,0.9928397062790458,0.5924563888834652,422,34,12.411764705882353,22,6,2,1,0
select_half_life_and_form,0.0,2020,306,2.9956274956608775,1.0123635552185737,0.6051314178680947,383,34,11.264705882352942,17,0,0,0,0
select_half_life_and_form,0.0,2021,306,3.043675970498309,1.0037429767525512,0.5966967107485819,392,34,11.529411764705882,19,1,0,0,0
select_half_life_and_form,0.0,2022,306,3.1150547347898745,1.005184069006512,0.6010260994561035,411,34,12.088235294117647,23,2,2,1,0
select_half_life_and_form,0.0,2023,306,3.060722201868575,0.9771437409849408,0.5837821771765234,386,34,11.352941176470589,21,3,2,0,0
select_half_life_and_form,0.0,2024,306,3.1018194460175015,1.0201857795203617,0.6094628222982315,362,34,10.647058823529411,23,3,1,1,0
select_half_life_and_form,0.0,2025,306,3.084620275845755,0.9712773121077901,0.5739257934050727,429,34,12.617647058823529,25,4,2,1,1
select_half_life_and_form,0.5,2016,306,2.966273063902813,0.9978432766206989,0.5989418776986514,404,34,11.882352941176471,20,2,1,0,0
select_half_life_and_form,0.5,2017,306,2.922692263462417,1.0022665109902222,0.5985338252009743,391,34,11.5,18,2,0,0,0
select_half_life_and_form,0.5,2018,306,3.1188740938099064,0.9667343488418098,0.5738983318950662,412,34,12.117647058823529,19,4,0,0,0
select_half_life_and_form,0.5,2019,306,3.1247713696254977,0.9782394549990405,0.5828960634239868,419,34,12.323529411764707,20,3,1,0,0
select_half_life_and_form,0.5,2020,306,2.9828613327248927,0.9983628014902979,0.5953673331949064,394,34,11.588235294117647,17,0,0,0,0
select_half_life_and_form,0.5,2021,306,3.0315433169086545,0.9916103231628964,0.5895481070496962,373,34,10.970588235294118,19,1,0,0,0
select_half_life_and_form,0.5,2022,306,3.107992531565284,0.9981218657819215,0.5961882933115275,407,34,11.970588235294118,23,3,2,1,0
select_half_life_and_form,0.5,2023,306,3.041125667132368,0.9580875659624276,0.5691983244557681,405,34,11.911764705882353,21,2,2,0,0
select_half_life_and_form,0.5,2024,306,3.0834743908166833,1.0018407243195433,0.5982311817823346,400,34,11.764705882352942,23,5,2,1,0
select_half_life_and_form,0.5,2025,306,3.069550808722291,0.9586552658464746,0.5665992118995089,432,34,12.705882352941176,25,5,2,1,1
select_half_life_and_form,1.0,2016,306,2.964382811278058,0.9959530239959442,0.5975189531288768,400,34,11.764705882352942,20,2,1,0,0
select_half_life_and_form,1.0,2017,306,2.916688781678059,0.9958870862166291,0.5952808362730977,410,34,12.058823529411764,21,4,1,0,0
select_half_life_and_form,1.0,2018,306,3.1158866277124124,0.9637468827443155,0.5716778227340811,401,34,11.794117647058824,19,5,0,0,0
select_half_life_and_form,1.0,2019,306,3.116075886567561,0.9695439719411039,0.5770544662276579,394,34,11.588235294117647,20,1,1,0,0
select_half_life_and_form,1.0,2020,306,2.9711190443144093,0.9888616012044682,0.5880717474681051,399,34,11.735294117647058,21,3,1,0,0
select_half_life_and_form,1.0,2021,306,3.0255408540246163,0.9876357465557886,0.5866968500203953,381,34,11.205882352941176,17,0,0,0,0
