policy,form,book_weight,games,log_loss,outcome_log_loss,brier_score,points,rounds,mean,maximum,at_least_18,at_least_20,at_least_22,at_least_24
fixed_840,residual_010,0.0,4590,3.0368950157202432,0.9951335637328519,0.5931394593585945,5985,510,11.735294117647058,25,38,15,4,1
fixed_840,residual_010,0.5,4590,3.026004642611519,0.984243190624128,0.5860919280501847,6109,510,11.97843137254902,25,44,15,3,1
fixed_840,residual_010,1.0,4590,3.021367003884242,0.9796055518968504,0.5829626770086241,6100,510,11.96078431372549,23,46,19,2,0
fixed_840,residual_020,0.0,4590,3.037759332138089,0.9954967028404628,0.5933141024040626,5999,510,11.762745098039217,25,40,14,4,1
fixed_840,residual_020,0.5,4590,3.02662107178591,0.9843584424882843,0.5861447589253277,6107,510,11.974509803921569,25,49,13,4,1
fixed_840,residual_020,1.0,4590,3.021796050819567,0.9795334215219408,0.582914215556253,6086,510,11.933333333333334,23,48,16,3,0
fixed_90,legacy,0.0,4590,3.11288937551713,1.0229713902314044,0.6084840341302147,5918,510,11.60392156862745,26,36,12,7,3
fixed_90,legacy,0.5,4590,3.0820292724410656,0.99211128715534,0.5910336642970747,6080,510,11.92156862745098,26,46,18,6,3
fixed_90,legacy,1.0,4590,3.0693988794998934,0.9794808942141681,0.5829013936116794,6140,510,12.03921568627451,23,42,19,7,0
fixed_90,none,0.0,4590,3.104852115615153,1.0174455896534726,0.6057419401048796,5953,510,11.672549019607843,26,36,13,6,3
fixed_90,none,0.5,4590,3.0779800183363886,0.9905734923747083,0.5901484088697959,6110,510,11.980392156862745,26,43,18,6,3
fixed_90,none,1.0,4590,3.0669298917619585,0.9795233658002782,0.5829255945555701,6134,510,12.027450980392157,23,41,19,7,0
fixed_90,residual_005,0.0,4590,3.1072369084992766,1.0191060856337701,0.6067069040186964,5954,510,11.674509803921568,26,34,12,5,2
fixed_90,residual_005,0.5,4590,3.0791552000489366,0.9910243771834302,0.5904317988988634,6098,510,11.95686274509804,26,46,19,6,3
fixed_90,residual_005,1.0,4590,3.0676314438241254,0.9795006209586192,0.5829106230648197,6138,510,12.035294117647059,23,42,19,7,0
